,ema3,ema13,ema144,high,low,close,open,start,end,buy,sell,loss,balance,date
1497252600.0,2902.608,2912.5708364485467,2863.1395872291814,2914.999,2891.248,2897.0,2902.479,1497252600.0,1497254400.0,,,,436.1232228211,2017-06-12 12:30:00
1497254400.0,2898.9942857142855,2909.3893563416136,2863.7993657787256,2924.9,2882.99,2910.001,2899.999,1497254400.0,1497256200.0,,,,436.1232228211,2017-06-12 13:00:00
1497256200.0,2905.212,2908.766985067304,2864.65466901815,2910.002,2880.1,2880.125,2910.001,1497256200.0,1497258000.0,,,,436.1232228211,2017-06-12 13:30:00
1497258000.0,2891.0717142857143,2903.372693975936,2864.9853331394074,2898.661,2862.01,2883.0,2880.125,1497258000.0,1497259800.0,,,,436.1232228211,2017-06-12 14:00:00
1497259800.0,2886.0358571428574,2899.6161658804094,2865.3673558255377,2905.999,2871.692,2903.995,2883.0,1497259800.0,1497261600.0,,,,436.1232228211,2017-06-12 14:30:00
1497261600.0,2894.5864285714283,2900.2414910362218,2866.099652760533,2905.93,2790.0,2804.994,2903.995,1497261600.0,1497263400.0,,,,436.1232228211,2017-06-12 15:00:00
1497263400.0,2844.423714285714,2884.31620378601,2865.2247107385656,2830.961,2655.883,2687.039,2804.994,1497263400.0,1497265200.0,,,,436.1232228211,2017-06-12 15:30:00
1497265200.0,2751.734142857143,2850.8830996555744,2862.4735959247887,2766.668,2657.102,2751.768,2687.039,1497265200.0,1497267000.0,,,,436.1232228211,2017-06-12 16:00:00
1497267000.0,2740.8777142857143,2832.4453855535653,2860.792847702688,2764.971,2676.602,2702.001,2756.996,1497267000.0,1497268800.0,,,,436.1232228211,2017-06-12 16:30:00
1497268800.0,2714.0827142857147,2809.403365992697,2858.3543573462985,2775.423,2702.0,2763.856,2705.082,1497268800.0,1497270600.0,,,,436.1232228211,2017-06-12 17:00:00
1497270600.0,2744.456285714286,2799.643835700559,2856.9223049146085,2777.012,2735.743,2741.001,2764.996,1497270600.0,1497272400.0,,,,436.1232228211,2017-06-12 17:30:00
